/* GIO'S HSVT CAR COLOR FILE */
/* Color 0 */
0,0,210,80

/* Color 1 */
0,0,60,110

/* Color 2 */
254,215,249,96

/* Color 3 */
253,219,133,100

/* Color 4 */
249,179,101,81

/* Color 5 */
28,253,209,58

/* Color 6 */
13,225,249,89

/* Color 7 */
42,151,89,92

/* Color 8 */
89,175,63,105

/* Color 9 */
150,255,230,106

/* Color 10 */
169,165,177,117

/* Color 11 */
211,205,132,79

/* Color 12 */
127,207,100,100

/* Color 13 */
25,196,200,73

/* Color 14 */
0,0,120,86

/* Color 15 */
248,197,210,95

/* Color 16 */
120,163,211,102

/* Color 17 */
163,86,211,102

/* Color 18 */
26,89,250,94

/* Color 19 */
43,211,239,102

/* Color 20 */
15,204,244,159

/* Color 21 */
26,218,255,123

/* Color 22 */
53,167,176,145

/* Color 23 */
246,112,247,105

